"One operator can have multiple reports per year (OPERATOR_ID, REPORT_YEAR, PARTA5COMMODITY, REPORT_NUMBER)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87
"Records sorted by REPORT_YEAR, OPERATOR_ID, PARTA5COMMODITY, REPORT_NUMBER.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA4STREET,PARTA4CITY,PARTA4STATE,PARTA4ZIP,PARTA4COUNTRY,PARTA5COMMODITY,PARTA7INTER,PARTA7INTRA,PARTBHCAOFFSHORE,PARTBHCAONSHORE,PARTBHCATOTAL,PARTCOFFCO2,PARTCOFFCRUDE,PARTCOFFETHANOL,PARTCOFFHVL,PARTCOFFRPP,PARTCONCO2,PARTCONCRUDE,PARTCONETHANOL,PARTCONHVL,PARTCONRPP,PARTDONCPB,PARTDONCPC,PARTDONCUB,PARTDONCUC,PARTDONCUP,PARTDONCUO,PARTDONTOTAL,PARTDOFFCPB,PARTDOFFCPC,PARTDOFFCUB,PARTDOFFCUC,PARTDOFFCUP,PARTDOFFCUO,PARTDOFFTOTAL,PARTDCPBTOTAL,PARTDCPCTOTAL,PARTDCUBTOTAL,PARTDCUCTOTAL,PARTDCUPTOTAL,PARTDCUOTOTAL,PARTDTOTALMILES,PARTEUNKNHF,PARTEUNKNLF,PARTEUNKNTOTAL,PARTEPRE40HF,PARTEPRE40LF,PARTEPRE40TOTAL,PARTE1940HF,PARTE1940LF,PARTE1940TOTAL,PARTE1950HF,PARTE1950LF,PARTE1950TOTAL,PARTE1960HF,PARTE1960LF,PARTE1960TOTAL,PARTE1970HF,PARTE1970LF,PARTE1970TOTAL,PARTE1980HF,PARTE1980LF,PARTE1980TOTAL,PARTE1990HF,PARTE1990LF,PARTE1990TOTAL,PARTE2000HF,PARTE2000LF,PARTE2000TOTAL,PARTE2010HF,PARTE2010LF,PARTE2010TOTAL,PARTE2020HF,PARTE2020LF,PARTE2020TOTAL,PARTETOTAL,PARTETOTALHF,PARTETOTALLF,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
2022-12-01 18:13:39,2021,20220241,19232,117,AIR PRODUCTS & CHEMICALS INC,1940 AIR PRODUCTS BLVD,ALLENTOWN,PA,18106,,CO2,,TEXAS,,12.91,12.91,,,,,,2082100,,,,,0,12.91,0,0,0,0,12.91,0,0,0,0,0,0,0,0,12.91,0,0,0,0,12.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.91,0,12.91,0,0,0,12.91,12.91,0,INITIAL,2022-06-08 10:55:55,2022-06-08 10:55:55,7000-1.1 (Rev. 01-2020)
2022-12-01 18:13:39,2021,20220489,19839,300,"PLAINS PIPELINE, L.P.","333 CLAY STREET, SUITE 1900",HOUSTON,TX,77002,,Crude Oil,"ALABAMA, ARKANSAS, COLORADO, ILLINOIS, KANSAS, LOUISIANA, MISSISSIPPI, MONTANA, NEBRASKA, NEW MEXICO, NORTH DAKOTA, OKLAHOMA, TENNESSEE, TEXAS, WYOMING","ALABAMA, ARKANSAS, CALIFORNIA, COLORADO, KANSAS, LOUISIANA, MISSISSIPPI, MONTANA, NEW MEXICO, NORTH DAKOTA, OKLAHOMA, TEXAS, WYOMING",,1548.93,1548.93,,,,,,0,299761625971,0,0,0,171.99,8115.24,0,0,0,1123.52,9410.75,0,0,0,0,0,0,0,171.99,8115.24,0,0,0,1123.52,9410.75,0.16,0,0.16,0,56.66,56.66,0,587.06,587.06,0,265.04,265.04,0,637.79,637.79,290.06,0.11,290.17,95.73,0,95.73,475.85,2.96,478.81,382.82,0,382.82,4341.89,0,4341.89,38.13,0,38.13,7174.26,5624.64,1549.62,SUPPLEMENTAL,2022-06-14 15:43:26,2022-10-11 13:51:27,7000-1.1 (Rev. 01-2020)
2022-12-01 18:13:39,2021,20220490,19487,300,"PLAINS PIPELINE, L.P.","333 CLAY STREET, SUITE 1900",HOUSTON,TX,77002,,HVL,MICHIGAN,"CALIFORNIA, TEXAS",,56.68,56.68,,,,,,,,,57164150,,0,120.22,0,0,0,7.24,127.46,0,0,0,0,0,0,0,0,120.22,0,0,0,7.24,127.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,48.06,0,48.06,2.7,0,2.7,50.77,50.77,0,INITIAL,2022-06-14 15:45:15,2022-06-14 15:45:15,7000-1.1 (Rev. 01-2020)
2022-12-01 18:13:39,2021,20220248,19239,395,AMOCO OIL CO,30 S. WACKER DRIVE,CHICAGO,IL,60606,,Refined and/or Petroleum Product (non-HVL),"ILLINOIS, INDIANA, IOWA, MICHIGAN, MINNESOTA, MISSOURI",,,666.6,666.6,,,,,,,,,,13390635704,0,1152.2,0,0,0,0,1152.2,0,0,0,0,0,0,0,0,1152.2,0,0,0,0,1152.2,0,0,0,0,0,0,0,15,15,0,0,0,0,0.9,0.9,0.6,0.9,1.5,18.4,0,18.4,58.6,0,58.6,5.1,0,5.1,1.4,0,1.4,0,0,0,100.9,84.1,16.8,INITIAL,2022-06-08 11:17:10,2022-06-08 11:17:10,7000-1.1 (Rev. 01-2020)
2022-12-01 18:13:39,2021,20220624,19827,473,"WESTERN MIDSTREAM PARTNERS, LP",9950 WOODLOCH FOREST DR SUITE 2800,THE WOODLANDS,TX,77380,,Crude Oil,,"COLORADO, TEXAS, WYOMING",,95.42,95.42,,,,,,0,6024762978,0,0,0,0,483.44,0,0,0,0,483.44,0,0,0,0,0,0,0,0,483.44,0,0,0,0,483.44,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5,30.5,0,2,2,0,0,0,0,0,0,0,0,0,434.3,0,434.3,16.64,0,16.64,483.44,450.94,32.5,SUPPLEMENTAL,2022-06-15 15:46:20,2022-09-19 12:53:48,7000-1.1 (Rev. 01-2020)
2022-12-01 18:13:39,2021,20220639,19845,473,"WESTERN MIDSTREAM PARTNERS, LP",9950 WOODLOCH FOREST DR SUITE 2800,THE WOODLANDS,TX,77380,,HVL,,"COLORADO, TEXAS, UTAH, WYOMING",,33.319,33.319,,,,,,,,,195509844,,0,233.92,0,0,0,0,233.92,0,0,0,0,0,0,0,0,233.92,0,0,0,0,233.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.07,0,8.07,0,0,0,8.18,0,8.18,16.82,0,16.82,199.91,0,199.91,0.94,0,0.94,233.92,233.92,0,SUPPLEMENTAL,2022-06-15 16:39:12,2022-10-27 13:02:14,7000-1.1 (Rev. 01-2020)
2022-12-01 18:13:39,2021,20220419,19415,515,DAKOTA GASIFICATION COMPANY,DAKOTA GASIFICATION COMPANY 1717 EAST INTERSTATE AVENUE,BISMARCK,ND,58503-0564,,CO2,NORTH DAKOTA,,,32.9,32.9,,,,,,1868954518,,,,,0,167.04,0,0,0,0,167.04,0,0,0,0,0,0,0,0,167.04,0,0,0,0,167.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.55,0,164.55,2.22,0,2.22,0.27,0,0.27,0,0,0,167.04,167.04,0,INITIAL,2022-06-14 08:23:26,2022-06-14 08:23:26,7000-1.1 (Rev. 01-2020)
2022-12-01 18:13:39,2021,20220349,19343,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",ONE WILLIAMS CENTER P.O. BOX 645,TULSA,OK,74172,,Crude Oil,OCS-Gulf of Mexico,,0,,0,,15861851,,,,,,,,,0,0,0,0,0,0,0,0,5.77,0,0,0,0,5.77,0,5.77,0,0,0,0,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77,0,5.77,0,0,0,0,0,0,5.77,5.77,0,INITIAL,2022-06-13 09:22:59,2022-06-13 09:22:59,7000-1.1 (Rev. 01-2020)
